Scan-X;Line 1;Line 2;Line 3;Line 4;Line 5;Line 6;Line 7;Line 8;Line 9
6.14;;;;54.4;;;;;
6.192;;;42.4;;;;;;
6.21;;;;;;86.3;;;
6.247;60.7;;;;;;76.0;;
6.265;;;;;;;;68.9;
6.299;;;82.5;;;;;;
6.305;;;;62.1;;;;;
6.323;;;;;;;;;58.1
6.329;;;;;;81.3;;;
6.335;;;;;57.2;;;64.6;
6.384;;;;;;;68.7;;
6.387;;;;62.5;;;;;
6.393;56.0;;;;;;;;
6.406;;;;;;;;62.3;
6.415;;70.9;;;;;;;
6.439;;;;;69.4;;;;
6.482;;;;;70.9;;;;
6.485;;;;63.4;;;;;
6.488;;;;;;;;64.2;
6.509;;;;;;;85.5;;
6.512;;;;;71.5;;;;
6.546;;;;;71.9;;;;
6.576;;;42.5;;;;;;55.4
6.585;56.7;;;;;;;;
6.604;;66.5;;;;;;;
6.616;;;;;71.7;;;59.6;
6.665;;;;60.4;;;;;
6.68;;;;;;;;;67.1
6.695;54.8;;;;;;;;
6.704;;;;;;70.4;;;
6.707;;64.9;;;;;;;
6.71;;;;;;;79.1;;
6.738;;;;60.1;;;;;
6.756;;;;;;;;58.2;
6.768;;;;;;;;;66.7
6.771;;;;;;70.0;;;
6.808;;;;59.7;;;;;
6.829;;;;;;;70.2;;
6.863;;;;;;69.4;;;
6.866;;;;;;;;62.6;
6.921;;;;58.5;;;;;
6.924;55.6;;;;;;;;
6.927;;;;;;70.5;;;
6.945;;67.2;;;;;;;
6.957;;;;;;70.6;;;
6.966;;;;;;;;66.1;
6.985;;;56.5;;;;;;
6.988;;;;;63.8;;;;
7.0;;;;;;;66.0;;
7.006;;;;;;;;;55.4
7.015;57.0;;;;;;;;
7.052;;;;;;;67.6;;
7.073;;68.0;;;;;;;
7.094;;;;;;;;65.3;
7.106;44.7;;;;;79.3;;;
7.128;;;;;;;;;70.0
7.146;;72.0;;60.9;;;;;
7.155;;;71.2;;;;;;
7.161;;;;;;;;;71.3
7.17;;;;;63.2;;;;
7.21;;;;;63.7;;;;
7.231;62.3;;;;;;;;
7.234;;;;63.3;;;;;
7.247;;;;;;;72.3;;
7.274;;;49.7;;;;;;
7.317;;;;;;80.6;;;
7.32;;;;64.6;;;;;
7.329;47.7;;;;;;;;
7.335;;;;;;;;;63.3
7.372;;;;;;;77.7;;
7.396;;;;65.2;;;;;
7.399;;58.6;;;;;;;
7.432;;;;66.0;;;;;
7.436;;;;;;48.4;;;
7.451;;;;;;;;64.9;
7.472;;;;64.4;;;;;
7.475;;;;;;;84.9;;
7.496;42.8;;;;;;;;
7.5;;63.2;;;;;;;
7.521;;;;;;;;63.0;
7.524;;;54.0;;;;;;
7.53;;;;;74.1;;;;
7.536;;;;58.6;;;;;
7.573;;;;;;;;;63.4
7.594;;;;;;;;61.3;
7.618;;;;60.6;;;;;
7.652;;;86.3;;;;;;
7.664;;;;;;75.6;;;
7.704;;;;;;;55.3;;
7.71;57.7;;;;;;;;
7.755;;;;;;42.9;;;
7.759;;;86.4;;;;;;
7.774;;;;;66.8;;76.4;;32.8
7.789;;;;57.3;;;;;
7.795;48.4;58.0;;;;;;;
7.826;;;;;;;;59.3;
7.838;;;;;;;;;19.8
7.853;;;;;;74.9;;;
7.859;;;;58.3;;;;;
7.88;;;61.2;;;;;;
7.926;;;;;;;61.1;;
7.929;;;;;66.8;;;;
7.954;;;;;;41.9;;;
7.969;;;;;;;;;63.4
7.978;;;85.5;;;;;;
8.027;;;;;;;;;67.8
8.036;;;;58.6;;;;;
8.054;;57.2;;;;;;57.6;
8.069;50.5;;;;;;;;
8.088;;;;;;;;;67.3
8.091;;;;;64.7;;;;
8.133;;;;;;72.7;;;
8.139;;;;60.8;;;;;
8.152;;;55.3;;;;60.4;;
8.225;;;;;;36.9;;;
8.255;;62.4;;;;;;;
8.258;;;;;72.2;;;;
8.27;;;;59.0;;;;;
8.283;48.9;;;;;;;;
8.286;;;;;;;;;68.7
8.307;;;;59.4;;;;58.5;
8.383;;;35.6;;;;;;66.8
8.386;;;;;;72.2;;;
8.402;;;;;73.2;;;;
8.411;;;;;;;64.0;;
8.42;;;;;;;;65.8;
8.447;;;;;;;;65.8;
8.499;;;;;;39.1;;;
8.514;;;;;;;;62.2;68.4
8.52;;;;58.1;;;;;
8.533;;62.6;;;;;;;
8.539;;;;;72.3;;;;
8.545;;;80.5;;;;;;
8.551;41.3;;;;;;;;
8.594;;;;;;;76.5;;
8.612;;;;;;;;60.2;
8.651;65.6;;;;;73.2;;;66.5
8.658;;;52.7;;76.1;;;;
8.694;;;;;;;65.6;;
8.725;;;;;;;;61.2;
8.761;;;;;;41.0;;;
8.776;;56.7;;;;;;;
8.779;;;;59.2;;;;;
8.782;51.9;;;;;;;;
8.792;;;;;72.2;;;;
8.813;;;;;;;73.7;;
8.834;;;;;;;;;64.6
8.868;;;;;;74.3;;59.3;
8.877;63.8;;;;;;;;
8.889;;;34.6;;;;;;
8.91;;;;59.8;;;;;
8.938;;;;;73.0;;;;
8.962;;;;;;;65.9;;
8.965;;;;;;33.4;;;
8.984;;;73.9;;;;;;
8.996;;;;56.1;;;;;
9.035;51.6;;;;;;;;
9.054;;57.7;;;;;;;
9.072;;;;;;;;58.6;
9.081;;;;;;;;;57.5
9.09;;;;;69.2;;;;
9.142;;;;55.2;;;;;
9.145;;;;;68.7;;;;
9.16;;;;;;;63.5;;
9.173;;;23.8;;;;;;
9.209;;;;;;32.5;;;
9.24;;;;;;;86.4;;
9.249;;;;;;;;;60.2
9.255;;44.4;;;;;;;
9.273;;;;52.1;;;;;
9.285;;;;;;;;59.3;
9.343;;39.7;;;;;;;
9.361;26.3;;;;;;;;
9.383;;;27.0;;;;;;
9.392;;;;;65.8;34.4;;;
9.398;;;;;;;63.9;;49.1
9.441;;;;47.1;;;;;
9.468;;;;;;;;61.5;
9.471;;;45.8;;;;;;
9.483;;;;;69.5;;;;
9.486;;59.5;;;;;;;
9.529;;;;;;54.8;;;
9.538;54.8;;;;;;;;
9.553;;;46.3;;;;;;
9.566;;;;;;;63.7;;
9.599;;;;;;;;;61.7
9.602;;;;;;;;47.5;
9.611;75.7;75.3;;;;;;;
9.66;;;;74.3;;;;;
9.666;;;;;;57.0;;;
9.678;;;;;54.7;;;;
9.706;;;75.6;;;;;;
9.712;;;;;;;49.7;;
9.721;;;;;;;;62.7;
9.739;;;;83.3;;;;;
9.782;;;;;;;;;58.7
9.819;;58.4;;;;;;;
9.831;;;;;;;57.9;;
9.84;50.3;;;;;;;;
9.843;;;;72.8;;;;;
9.861;;;;;;;;79.5;
9.876;;;;;74.2;51.0;;;
9.895;;;;74.2;;;;;
9.953;;;;;;;;62.4;
9.971;;;;;;;;;56.7
9.98;;;;;;;;62.6;
9.986;;;54.9;;;;;;
10.075;;;;;;;69.3;;
10.078;;;;;;79.9;;;
10.099;;56.6;;;;;;;
10.108;;;;72.4;;;;;
